County,Tract,BG,Block,HT,VA,E,R,S,lat,lon
39059,39059977200,390599772003,390599772003104,1,1,1,1,1,40.06058926757349,-81.67433923300112
39059,39059977200,390599772003,390599772003104,1,1,1,1,1,40.05916618797101,-81.66793320698987
39059,39059977200,390599772003,390599772003104,1,1,1,1,1,40.069763993833966,-81.68134478098348
39059,39059977200,390599772003,390599772003104,1,1,1,1,1,40.05995946591856,-81.67679775612535
39059,39059977200,390599772003,390599772003104,1,1,1,1,1,40.06501998403539,-81.67048337181474
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.059641396796195,-81.67727772295062
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.076816727981175,-81.66981720262048
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.0751473678159,-81.67021494233988
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.062337411622096,-81.68190911594931
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.066397240875986,-81.66577685102936
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.06548093422807,-81.66298110709226
39059,39059977200,390599772003,390599772003104,1,1,1,1,2,40.06043532681321,-81.68193690820856
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.05776907864816,-81.67627175726824
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.06991144114682,-81.66794178735782
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.06321834387959,-81.68332342094168
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.06345376822411,-81.67052360158141
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.06535236715341,-81.68365100312025
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.07662174003877,-81.67409689372886
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.061984451838086,-81.68018509529664
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.07567491944264,-81.66280463065883
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.07090760643595,-81.66431261256399
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.06760684887876,-81.6655160380043
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.062223983993874,-81.67117759681915
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.070034671874566,-81.66256701421078
39059,39059977200,390599772003,390599772003104,1,2,1,1,1,40.05802111595461,-81.6740619081292
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.07196643002467,-81.67134271252829
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.072210735421315,-81.67481979152349
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.07244754252968,-81.67752126637507
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.06791592937833,-81.68097018911436
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.06391592568801,-81.6821604922681
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.072334696014195,-81.66191856458803
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.07343670841997,-81.67132266866697
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.0681983251002,-81.65938087895357
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.07173008519764,-81.66400622098897
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.07356522214536,-81.66225013722975
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.06010757258611,-81.68287219825474
39059,39059977200,390599772003,390599772003104,1,2,1,1,2,40.063602032501805,-81.67620587988743
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.07563180765588,-81.71245489669242
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.071434158245786,-81.69083478264322
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.064012130767736,-81.71123445642404
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.06648561991358,-81.69241348841244
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.06049110169091,-81.71312061230192
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.07461023170882,-81.69704901005476
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.06356801962765,-81.71884072032303
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.07030544168671,-81.70726806903437
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.070553676218175,-81.68632031286722
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.0713591659844,-81.68475715747807
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.06675443900095,-81.69069231916896
39059,39059977200,390599772003,390599772003107,1,1,1,1,1,40.06854923095158,-81.70744351029593
39059,39059977200,390599772003,390599772003107,1,1,1,1,2,40.06817183304788,-81.69640099799139
